TIME | EVENT
1:15 | Student 164 arrives Priority: 1 Class choice: 3
1:15 | Student 164 started Processing from GS Queue Student's Priority is: 1
1:15 | Student 164 enrolled in class section 3 Student's Priority is 1
1:15 | Student 124 started Processing from RS Queue Student's Priority is: 2
1:15 | Student 105 started Processing from EE Queue Student's Priority is: 3
1:17 | Student 155 arrives Priority: 3 Class choice: 3
1:18 | Student 151 started Processing from EE Queue Student's Priority is: 3
1:20 | Student 141 arrives Priority: 1 Class choice: 1
1:20 | Student 141 started Processing from GS Queue Student's Priority is: 1
1:20 | Student 141 enrolled in class section 1 Student's Priority is: 1
1:20 | Student 169 arrives Priority: 3 Class choice: 2
1:22 | Student 150 arrives Priority: 1 Class choice: 3
1:22 | Student 150 started Processing from GS Queue Student's Priority is: 1
1:22 | Student 150 enrolled in class section 3 Student's Priority is 1
1:23 | Student 113 arrives Priority: 1 Class choice: 3
1:23 | Student 113 started Processing from GS Queue Student's Priority is: 1
1:23 | Student 113 enrolled in class section 3 Student's Priority is 1
1:23 | Student 155 started Processing from EE Queue Student's Priority is: 3
1:23 | Student 155 dropped from EE Queue Student's Priority is: 3
1:25 | Student 130 arrives Priority: 3 Class choice: 1
1:26 | Student 106 arrives Priority: 2 Class choice: 1
1:26 | Student 106 started Processing from RS Queue Student's Priority is: 2
1:27 | Student 122 arrives Priority: 3 Class choice: 3
1:29 | Student 107 arrives Priority: 3 Class choice: 3
1:29 | Student 169 started Processing from EE Queue Student's Priority is: 3
1:30 | Student 149 arrives Priority: 2 Class choice: 1
1:30 | Student 149 started Processing from RS Queue Student's Priority is: 2
1:30 | Student 149 dropped from RS Queue Student's Priority is: 2
1:31 | Student 103 arrives Priority: 1 Class choice: 1
1:31 | Student 103 started Processing from GS Queue Student's Priority is: 1
1:31 | Student 103 dropped from GS Queue Student's Priority is: 1
1:32 | Student 130 started Processing from EE Queue Student's Priority is: 3
1:32 | Student 130 dropped from EE Queue Student's Priority is: 3
1:35 | Student 122 started Processing from EE Queue Student's Priority is: 3
1:35 | Student 122 dropped from EE Queue Student's Priority is: 3
1:37 | Student 101 arrives Priority: 3 Class choice: 2
1:37 | Student 137 arrives Priority: 1 Class choice: 1
1:37 | Student 137 started Processing from GS Queue Student's Priority is: 1
1:37 | Student 137 dropped from GS Queue Student's Priority is: 1
1:38 | Student 147 arrives Priority: 2 Class choice: 3
1:38 | Student 147 started Processing from RS Queue Student's Priority is: 2
1:38 | Student 147 dropped from RS Queue Student's Priority is: 2
